"annotation_id,""annotator"",""comment"",""created_at"",""id"",""lead_time"",""sentiment"",""updated_at"",""video_id"",""video_title"""
"11,""1"",""Sepasang suami istri setia"",""2025-03-17T11:30:08.367181Z"",11,2.216,""Not Online Gambling Promotion"",""2025-03-17T11:30:08.367181Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"12,""1"",""Bisa ngintip bego hp"",""2025-03-17T11:30:11.904946Z"",12,3.009,""Not Online Gambling Promotion"",""2025-03-17T11:30:11.904946Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"13,""1"",""Dasar GK de bikin konten"",""2025-03-17T11:30:15.118826Z"",13,2.671,""Not Online Gambling Promotion"",""2025-03-17T11:30:15.118826Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"14,""1"",""Ih dasar niruin konten youtuber USA"",""2025-03-17T11:30:20.734229Z"",14,5.13,""Not Online Gambling Promotion"",""2025-03-17T11:30:20.734229Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"15,""1"",""Dua duanya licik Kita subscribe"",""2025-03-17T11:38:31.326655Z"",15,489.728,""Not Online Gambling Promotion"",""2025-03-17T11:38:31.326655Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"16,""1"",""DORA77 gacir menang"",""2025-03-17T11:38:35.522416Z"",16,3.622,""Online Gambling Promotion"",""2025-03-17T11:38:35.522416Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"17,""1"",""Kiri kak"",""2025-03-17T11:38:39.627101Z"",17,3.654,""Not Online Gambling Promotion"",""2025-03-17T11:38:39.627101Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"18,""1"",""Curang"",""2025-03-17T11:38:41.768060Z"",18,1.551,""Not Online Gambling Promotion"",""2025-03-17T11:38:41.768060Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"19,""1"",""Kanan"",""2025-03-17T11:38:43.549257Z"",19,1.226,""Not Online Gambling Promotion"",""2025-03-17T11:38:43.549257Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"20,""1"",""Scam"",""2025-03-17T11:38:45.182697Z"",20,1.107,""Not Online Gambling Promotion"",""2025-03-17T11:38:45.182697Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"21,""1"",""coba njier"",""2025-03-17T11:38:46.796503Z"",21,1.089,""Not Online Gambling Promotion"",""2025-03-17T11:38:46.796503Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"22,""1"",""hahaha"",""2025-03-17T11:38:48.295987Z"",22,0.967,""Not Online Gambling Promotion"",""2025-03-17T11:38:48.295987Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"23,""1"",""Yah kaya ginih mah curang orang warnanya ajah beda"",""2025-03-17T11:38:51.178746Z"",23,2.406,""Not Online Gambling Promotion"",""2025-03-17T11:38:51.178746Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"24,""1"",""Alaiy"",""2025-03-17T11:38:52.820163Z"",24,1.124,""Not Online Gambling Promotion"",""2025-03-17T11:38:52.820163Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"25,""1"",""Curangggggggggggggggggggg"",""2025-03-17T11:38:54.534784Z"",25,1.169,""Not Online Gambling Promotion"",""2025-03-17T11:38:54.534784Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"26,""1"",""Stres"",""2025-03-17T11:38:56.123110Z"",26,1.082,""Not Online Gambling Promotion"",""2025-03-17T11:38:56.123110Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"27,""1"",""Curanngggg orang boongin"",""2025-03-17T11:38:58.003686Z"",27,1.34,""Not Online Gambling Promotion"",""2025-03-17T11:38:58.003686Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"28,""1"",""yg ngisi yg nginjek"",""2025-03-17T11:39:01.968205Z"",28,3.433,""Not Online Gambling Promotion"",""2025-03-17T11:39:01.968205Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"29,""1"",""Orang mah ganti kertas kado nya"",""2025-03-17T11:39:04.499504Z"",29,2.037,""Not Online Gambling Promotion"",""2025-03-17T11:39:04.499504Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"30,""1"",""Ih lego ranjau darat biar menantang kertas ganti besi gak ka"",""2025-03-17T11:39:06.613386Z"",30,1.599,""Not Online Gambling Promotion"",""2025-03-17T11:39:06.613386Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"31,""1"",""KK nyacurang karna udah"",""2025-03-17T11:39:07.995625Z"",31,8.611,""Not Online Gambling Promotion"",""2025-03-17T11:39:25.683003Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"32,""1"",""Mereka ngikutin wilisalim"",""2025-03-17T11:39:09.427828Z"",32,0.889,""Not Online Gambling Promotion"",""2025-03-17T11:39:09.427828Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"33,""1"",""Kakak masti curanga"",""2025-03-17T11:39:10.743175Z"",33,3.089,""Not Online Gambling Promotion"",""2025-03-17T11:39:34.002372Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"34,""1"",""Bang follow like Aku Nisa Savana follow nih nama Aqila Anisa sovana follow Maaf mengganggu video kakak urusan abang kakak"",""2025-03-17T11:39:58.614720Z"",34,3.476,""Not Online Gambling Promotion"",""2025-03-17T11:39:58.614720Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"35,""1"",""Ceweknya ama cowoknya aja"",""2025-03-17T11:40:01.867802Z"",35,2.781,""Not Online Gambling Promotion"",""2025-03-17T11:40:01.867802Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"36,""1"",""Dikit2 like dikit2 subscribe lawak"",""2025-03-17T11:40:05.673316Z"",36,3.316,""Not Online Gambling Promotion"",""2025-03-17T11:40:05.673316Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"37,""1"",""bohomgan"",""2025-03-17T11:40:08.246516Z"",37,2.027,""Not Online Gambling Promotion"",""2025-03-17T11:40:08.246516Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"38,""1"",""setingan"",""2025-03-17T11:40:10.144665Z"",38,1.366,""Not Online Gambling Promotion"",""2025-03-17T11:40:10.144665Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"39,""1"",""Konten real ide menarik expresi nya lucu seru tonton puasa marah"",""2025-03-17T11:40:13.791058Z"",39,3.103,""Not Online Gambling Promotion"",""2025-03-17T11:40:13.791435Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"40,""1"",""Kertas kado nya btw beda ya"",""2025-03-17T11:40:17.789359Z"",40,3.434,""Not Online Gambling Promotion"",""2025-03-17T11:40:17.789359Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"41,""1"",""ua ua ak tau"",""2025-03-17T11:40:19.737696Z"",41,1.392,""Not Online Gambling Promotion"",""2025-03-17T11:40:19.737696Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"42,""1"",""niru konten orang jir"",""2025-03-17T11:40:21.701630Z"",42,1.418,""Not Online Gambling Promotion"",""2025-03-17T11:40:21.701630Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"43,""1"",""udah settings biat doang kena"",""2025-03-17T11:40:24.177513Z"",43,1.911,""Not Online Gambling Promotion"",""2025-03-17T11:40:24.177513Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"44,""1"",""Itu keliatan penutup lu gw bodoh gitu kocak lu"",""2025-03-17T11:40:26.615188Z"",44,1.89,""Not Online Gambling Promotion"",""2025-03-17T11:40:26.615188Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"45,""1"",""gak tolok"",""2025-03-17T11:40:28.409131Z"",45,1.24,""Not Online Gambling Promotion"",""2025-03-17T11:40:28.409131Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"46,""1"",""Tymoty"",""2025-03-17T11:40:30.094812Z"",46,1.197,""Not Online Gambling Promotion"",""2025-03-17T11:40:30.094812Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"47,""1"",""Bang kaki lu gak patah"",""2025-03-17T11:40:31.743546Z"",47,1.111,""Not Online Gambling Promotion"",""2025-03-17T11:40:31.743546Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"48,""1"",""Iya dikasih tau"",""2025-03-17T11:40:33.292618Z"",48,1.04,""Not Online Gambling Promotion"",""2025-03-17T11:40:33.292618Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"49,""1"",""Pasti sakit kena Lego kayak ditusuk"",""2025-03-17T11:40:36.019043Z"",49,2.157,""Not Online Gambling Promotion"",""2025-03-17T11:40:36.019043Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"50,""1"",""Setingan"",""2025-03-17T11:40:37.671787Z"",50,1.102,""Not Online Gambling Promotion"",""2025-03-17T11:40:37.671787Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"51,""1"",""Keliatan gak sih hp nya"",""2025-03-17T11:40:39.554725Z"",51,1.342,""Not Online Gambling Promotion"",""2025-03-17T11:40:39.554725Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"52,""1"",""cringe lu"",""2025-03-17T11:40:41.292640Z"",52,1.186,""Not Online Gambling Promotion"",""2025-03-17T11:40:41.292640Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"53,""1"",""Emose"",""2025-03-17T11:40:43.000927Z"",53,1.19,""Not Online Gambling Promotion"",""2025-03-17T11:40:43.000927Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"54,""1"",""2000"",""2025-03-17T11:40:44.849229Z"",54,1.309,""Not Online Gambling Promotion"",""2025-03-17T11:40:44.849229Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"55,""1"",""Memang cewe main curang"",""2025-03-17T11:40:46.581027Z"",55,1.23,""Not Online Gambling Promotion"",""2025-03-17T11:40:46.581027Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"56,""1"",""Aku main salah milih"",""2025-03-17T11:40:49.084131Z"",56,1.966,""Not Online Gambling Promotion"",""2025-03-17T11:40:49.084131Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"57,""1"",""Aku udah like udah follow hadiahnya nggak Natal konco"",""2025-03-17T11:40:54.691180Z"",57,5.084,""Not Online Gambling Promotion"",""2025-03-17T11:40:54.691180Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"58,""1"",""Ada ketawa kuntilanak"",""2025-03-17T11:40:57.155834Z"",58,1.935,""Not Online Gambling Promotion"",""2025-03-17T11:40:57.155834Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"59,""1"",""Ngapain sih lu Gila kali lu y"",""2025-03-17T11:40:59.182807Z"",59,1.469,""Not Online Gambling Promotion"",""2025-03-17T11:40:59.182807Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"60,""1"",""komennya judol"",""2025-03-17T11:41:02.396161Z"",60,2.674,""Not Online Gambling Promotion"",""2025-03-17T11:41:02.396161Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"61,""1"",""Gak maling gak viral"",""2025-03-17T11:41:04.483816Z"",61,1.635,""Not Online Gambling Promotion"",""2025-03-17T11:41:04.483816Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"62,""1"",""kak copa pake paku payung"",""2025-03-17T11:41:06.982035Z"",62,1.987,""Not Online Gambling Promotion"",""2025-03-17T11:41:06.982035Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"63,""1"",""PSKTM"",""2025-03-17T11:41:26.282789Z"",63,18.755,""Not Online Gambling Promotion"",""2025-03-17T11:41:26.282789Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"64,""1"",""Settigan"",""2025-03-17T11:41:27.963946Z"",64,1.148,""Not Online Gambling Promotion"",""2025-03-17T11:41:27.963946Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"65,""1"",""Tebak iq"",""2025-03-17T11:41:29.496345Z"",65,1.072,""Not Online Gambling Promotion"",""2025-03-17T11:41:29.496345Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"66,""1"",""Curangggg banet"",""2025-03-17T11:41:31.011315Z"",66,0.998,""Not Online Gambling Promotion"",""2025-03-17T11:41:31.011315Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"67,""1"",""Legonya lego ku"",""2025-03-17T11:41:32.565522Z"",67,0.984,""Not Online Gambling Promotion"",""2025-03-17T11:41:32.565522Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"68,""1"",""Youtuber banget loh ya"",""2025-03-17T11:41:33.917669Z"",68,0.864,""Not Online Gambling Promotion"",""2025-03-17T11:41:33.917669Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"69,""1"",""Dibedain kertasnya cowonya ngalah"",""2025-03-17T11:41:36.440418Z"",69,1.99,""Not Online Gambling Promotion"",""2025-03-17T11:41:36.440418Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"70,""1"",""Gjee banget anjjjj"",""2025-03-17T11:41:37.755813Z"",70,0.777,""Not Online Gambling Promotion"",""2025-03-17T11:41:37.755813Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"71,""1"",""rak mutu"",""2025-03-17T11:41:39.001274Z"",71,0.664,""Not Online Gambling Promotion"",""2025-03-17T11:41:39.001274Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"72,""1"",""Ga ber manfaat konten lu bro"",""2025-03-17T11:41:40.653256Z"",72,1.132,""Not Online Gambling Promotion"",""2025-03-17T11:41:40.653256Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"73,""1"",""Garing"",""2025-03-17T11:41:42.207634Z"",73,1.016,""Not Online Gambling Promotion"",""2025-03-17T11:41:42.207634Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"74,""1"",""harapkan sih jago banget"",""2025-03-17T11:41:43.765250Z"",74,1.075,""Not Online Gambling Promotion"",""2025-03-17T11:41:43.765250Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"75,""1"",""Set"",""2025-03-17T11:41:45.208394Z"",75,0.939,""Not Online Gambling Promotion"",""2025-03-17T11:41:45.208394Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"76,""1"",""Waduh menang gue SCBD belanja pake duit kemenangan jptogel77 uang trakhirnemu situs barualhamdulilah d ksih jepe ngab"",""2025-03-17T11:41:49.279851Z"",76,3.604,""Online Gambling Promotion"",""2025-03-17T11:41:49.279851Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"77,""1"",""temenku saranin main Mandalika 77 coba iseng2 main situs eh dapettt jackpott udah cape banget gonta ganti situs mulu situs menghasilkan cuan"",""2025-03-17T11:41:52.310572Z"",77,2.499,""Online Gambling Promotion"",""2025-03-17T11:41:52.310572Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"78,""1"",""Info seloter pakai link Bosku Karena link MLNDALIKL77 bikin Member Baru JPnya WD Perkalian X250 X500 scatter nya nyangkut dikasih pecahan bagus Mantap"",""2025-03-17T11:41:54.725796Z"",78,1.97,""Online Gambling Promotion"",""2025-03-17T11:41:54.725796Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"79,""1"",""nyelot gak ribet MANTAB J P TO G E L 7 7 gak rugi kalo main main WD gak sampe maxwin modal gw 2x lipat gas"",""2025-03-17T11:41:57.439909Z"",79,2.063,""Online Gambling Promotion"",""2025-03-17T11:41:57.439909Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"80,""1"",""seneng bangun2 kumpulin nyawa main JPTOGEL77 langsung dikasi wekwekwek"",""2025-03-17T11:41:59.512377Z"",80,1.411,""Online Gambling Promotion"",""2025-03-17T11:41:59.512377Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"81,""1"",""MEMANG TERBUKTI TERBAIK DAN MANTAP NIH SITUS KEREN WAWW MANTAP asli SERVER TERBAIK bos jgn salah pilih BO rungkat member rutin dikasih MAXWIN amp turun Perkalian x250 x500 pecahan bagus Kontrol nafsu nya kalo udah MAXWIN lgsg WD Di sisakan Dikit BgDan Lanjut Main LagiMudah mudahan Di Tambah Lagi CARI DI GOOGLE JPTOGEL77"",""2025-03-17T11:42:09.591400Z"",81,9.535,""Online Gambling Promotion"",""2025-03-17T11:42:09.591400Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"82,""1"",""JPTOGEL77 gua maen bentar aja lngsg WEDEY gede"",""2025-03-17T11:42:11.521104Z"",82,1.371,""Online Gambling Promotion"",""2025-03-17T11:42:11.521104Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"83,""1"",""modal halus jp paus J P TO G E L 7 7 untung gw kasi tau sodara gak sih gw masi maen sedot wc makasih J P TO G E L 7 7 jajannya"",""2025-03-17T11:42:13.321324Z"",83,1.283,""Online Gambling Promotion"",""2025-03-17T11:42:13.321324Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"84,""1"",""gua pasukan jptogel77 bro udah setia gw main amanah gampang JP"",""2025-03-17T11:42:15.178114Z"",84,1.313,""Online Gambling Promotion"",""2025-03-17T11:42:15.178114Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"85,""1"",""jptogel77 ngan ukur Duit ngalir permainan seru ora aya istirahatna Layanan oke banget abdi recom duh euy"",""2025-03-17T11:42:17.123334Z"",85,1.422,""Online Gambling Promotion"",""2025-03-17T11:42:17.123334Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"86,""1"",""member langsung dikasih jajanan meningkat senang bermain J P TO G E L 7 7 sih gk ubah web ni"",""2025-03-17T11:42:19.073336Z"",86,1.4,""Online Gambling Promotion"",""2025-03-17T11:42:19.073336Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"87,""1"",""menang gak dibayar nih langgana gua aja bro jptogel77 mantap deh gw u main tenang hp bunyi mulu wkkw"",""2025-03-17T11:42:51.873667Z"",87,32.223,""Online Gambling Promotion"",""2025-03-17T11:42:51.873667Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"88,""1"",""Memang main jptogel77 untung saran teman menang"",""2025-03-17T11:42:55.310392Z"",88,2.88,""Online Gambling Promotion"",""2025-03-17T11:42:55.310392Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"89,""1"",""WAJIB COBA DI SINI BOS SUPER GACCOOORR YANG TERBARUCOBA PAKE SERVER THAILAND SERVER LUAR YANG SAYA PAKE RTP NYA DI ATAS 98 TANPA HARUS BUY PETIR x100 x250 x500 SUDAH PASTI KELUAR GASSSS LANGSUNG SEMOGA HOKINYA NULAR YA ABANG CARI GOOGLE J P TO G E L 7 7"",""2025-03-17T11:44:38.856963Z"",89,102.974,""Online Gambling Promotion"",""2025-03-17T11:44:38.856963Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"90,""1"",""percaya ama bro keluarga main jptogel77 banget JP dibanding situs"",""2025-03-17T11:45:41.173239Z"",90,61.719,""Online Gambling Promotion"",""2025-03-17T11:45:41.173239Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"91,""1"",""banget JPTOGEL77 cuan banget web nya gk depo gede2 depo receh kasih maxwin coba gan"",""2025-03-17T11:45:43.670746Z"",91,1.954,""Online Gambling Promotion"",""2025-03-17T11:45:43.670746Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"92,""1"",""server2 emang royal mesin nya lokal semalem gw maen J P TO G E L 7 7 menang gua wkkw google bro"",""2025-03-17T11:45:46.267717Z"",92,1.971,""Online Gambling Promotion"",""2025-03-17T11:45:46.267717Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"93,""1"",""sensasi nya beda bro main jptogel77 udah sekampung temen gw main JP"",""2025-03-17T11:45:47.935336Z"",93,1.134,""Online Gambling Promotion"",""2025-03-17T11:45:47.935336Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"94,""1"",""gw aja main JPTOGEL77 x100 kuy mabar biar cuan bang sore mantappp rekomend banget pokok nya situs broo"",""2025-03-17T11:45:49.328568Z"",94,0.854,""Online Gambling Promotion"",""2025-03-17T11:45:49.328568Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"95,""1"",""ga nyarnin server abal abal dahgua udah tau main cari aja JPTOGEL77 ngab terbaikk situs sih teman wede coba deh ngab lumayan nambah2 isi dompet"",""2025-03-17T11:45:51.297305Z"",95,1.407,""Online Gambling Promotion"",""2025-03-17T11:45:51.297305Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"96,""1"",""JPTOGEL77 cba bntr jepe gede lgnsung"",""2025-03-17T11:45:52.931580Z"",96,1.082,""Online Gambling Promotion"",""2025-03-17T11:45:52.931580Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"97,""1"",""Ternyata bgt dibilang teman gue main jptogel77 gampang bgt dapetin maxwin member positif WD"",""2025-03-17T11:45:54.344939Z"",97,0.838,""Online Gambling Promotion"",""2025-03-17T11:45:54.344939Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
"98,""1"",""Senang banget rezeki terduga MANDALIKA77"",""2025-03-17T11:45:56.041148Z"",98,1.196,""Online Gambling Promotion"",""2025-03-17T11:45:56.041148Z"",""ZshDHBFmkqU"",""Jangan salah pilih kotakÃ°Å¸Ëœâ€¦"""
